Date,Company,Studio,Project,Category1,Category2,Country,Country_code,OS,Counterparty,Amount_USD
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,1439416.3449800068
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,165172.34332488797
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,2961701.9265565416
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,230801.73206200576
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,162547.02190896677
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,5749719.317802523
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,347672.32736780774
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,258089.50393889728
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,190599.36426641795
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,238905.7858363567
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,262976.9582154181
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,624139.9052207138
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,153925.3537929835
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2526905.8327356824
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,127100.78504705179
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,168755.9823240325
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,4987402.771609546
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,225350.26838705916
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,270085.0250993486
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,123331.12886019655
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,126332.39866902374
2020-01-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1079061.1882966105
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,764076.5975372506
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,258100.2108848783
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3147653.5620598095
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,194793.2672724975
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,172386.09973761867
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6155656.807332969
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,383386.4053183029
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,281379.9712457687
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,196897.66944117434
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,227782.6119754343
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1142560.5198494813
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,629136.3852571179
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,202476.0141692747
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,3038199.317877142
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,224096.73362323604
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,193975.99390928927
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,5805993.570942343
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,325134.27986508695
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,294108.91832827835
