Date,Company,Studio,Project,Category1,Category2,Country,Country_code,OS,Counterparty,Amount_USD
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,SuperStore,5133.753335587511
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,SuperStore,997.4277091396431
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,SuperStore,10965.213368267083
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,SuperStore,32893.4002694858
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,SuperStore,1426.8473734351558
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,SuperStore,2281.1751314658163
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,SuperStore,9542.711871265068
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,SuperStore,1883.3122603392062
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,SuperStore,13138.771588146385
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,SuperStore,1447.6032189621365
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,SuperStore,6671.141671548826
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,MainStore,4481.0609400713165
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,MainStore,870.6172766399521
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,MainStore,9571.123915026652
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,MainStore,28711.416676753106
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,MainStore,1245.4416125179723
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,MainStore,1991.1523033670837
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,MainStore,8329.475655220023
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,MainStore,1643.872709906435
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,MainStore,11468.341448357447
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,MainStore,1263.5586124182923
2020-11-30,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,MainStore,5822.9896171352475
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,SuperStore,10123.893567945699
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,SuperStore,2593.2595925460673
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,SuperStore,22931.40651148117
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,SuperStore,70531.57418036269
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,SuperStore,2276.6801926859293
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,SuperStore,4495.041632350502
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,SuperStore,21591.171048241165
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,SuperStore,3819.2529505189564
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,SuperStore,28375.96965071875
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,SuperStore,2141.0512612845732
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,SuperStore,14363.49333911491
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,MainStore,8683.052029725673
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,MainStore,2224.184580521212
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,MainStore,19667.78833831465
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,MainStore,60493.45780220572
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,MainStore,1952.6610424598873
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,MainStore,3855.303308705406
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,MainStore,18518.29637839889
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,MainStore,3275.6934732146387
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,MainStore,24337.476408407565
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,MainStore,1836.3349412232226
2020-12-31,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,MainStore,12319.26819015941
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,SuperStore,9950.0924521907
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,SuperStore,3671.438917776505
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,SuperStore,24084.90961973983
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,SuperStore,74342.79222995903
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,SuperStore,2192.8589933962617
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,SuperStore,4684.862413692635
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,SuperStore,21793.86518416375
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,SuperStore,5037.209376288965
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,SuperStore,29930.636261287127
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,SuperStore,3737.664524570156
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,SuperStore,12961.767852925897
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,MainStore,8674.497411004228
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,MainStore,3200.762961745199
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,MainStore,20997.240693447555
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,MainStore,64812.09715630541
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,MainStore,1911.7359715311156
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,MainStore,4084.266259208514
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,MainStore,18999.906586212728
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,MainStore,4391.442582393746
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,MainStore,26093.54918115171
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,MainStore,3258.4984910816356
2021-01-31,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,MainStore,11300.07808696174
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,SuperStore,12591.694137890307
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,SuperStore,3536.403888151347
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,SuperStore,26804.54662457327
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,SuperStore,84077.56326560701
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,SuperStore,2373.444260104771
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,SuperStore,6381.515776535104
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,SuperStore,24725.19556228682
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,SuperStore,5117.047146858511
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,SuperStore,34922.72785619304
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,SuperStore,4380.56262092436
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,SuperStore,14765.343302703763
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,MainStore,10807.044992628465
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,MainStore,3035.181407111367
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,MainStore,23005.477913181374
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,MainStore,72161.06102416963
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,MainStore,2037.0506641567447
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,MainStore,5477.049185197104
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,MainStore,21220.837956118015
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,MainStore,4391.796539839269
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,MainStore,29973.051050494436
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,MainStore,3759.695623077439
2021-02-28,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,MainStore,12672.617969948586
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,SuperStore,30269.128093740823
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,SuperStore,5544.949837258714
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,SuperStore,66928.85654452679
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,SuperStore,199394.30464420002
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,SuperStore,9185.09738357664
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,SuperStore,14851.55342678232
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,SuperStore,57381.8146672477
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,SuperStore,15252.270099386438
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,SuperStore,81999.89896271752
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,SuperStore,6896.889150344396
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,SuperStore,30134.60105303409
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,MainStore,26642.34207752367
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,MainStore,4880.5651061189365
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,MainStore,58909.575637413785
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,MainStore,175503.28031216894
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,MainStore,8084.557498675331
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,MainStore,13072.07018165726
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,MainStore,50506.44110591369
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,MainStore,13424.77378893076
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,MainStore,72174.83608121681
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,MainStore,6070.517771281076
2021-03-31,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,MainStore,26523.933796119396
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,SuperStore,30428.273048758692
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,SuperStore,10685.672969951725
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,SuperStore,70326.8859748263
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,SuperStore,219686.03984027123
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,SuperStore,6808.569915938774
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,SuperStore,16184.14010783614
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,SuperStore,66011.93559253374
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Austria,AUT,,SuperStore,16938.71834448593
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Israel,ISR,,SuperStore,88075.65746861251
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Russia,RUS,,SuperStore,7177.211142940177
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,France,FRA,,SuperStore,37177.66290062377
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,USA,USA,,MainStore,26637.91551647502
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Japan,JPN,,MainStore,9354.591151267019
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,China,CHN,,MainStore,61566.4794427306
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Germany,DEU,,MainStore,192320.41726577183
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Brazil,BRA,,MainStore,5960.447046014307
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Argentina,ARG,,MainStore,14168.130942183754
2021-04-30,White,White1,Whiteblack,Revenue,Mobile IAP,Mexico,MEX,,MainStore,57789.02932069747
